Year,State,Month,Number of Fires,Date Reported
2008,Distrito Federal,September,54,1/01/2008
2009,Distrito Federal,September,5,1/01/2009
2010,Distrito Federal,September,196,1/01/2010
2011,Distrito Federal,September,133,1/01/2011
2012,Distrito Federal,September,64,1/01/2012
2013,Distrito Federal,September,31,1/01/2013
2014,Distrito Federal,September,72,1/01/2014
2015,Distrito Federal,September,76,1/01/2015
2016,Distrito Federal,September,58,1/01/2016
2017,Distrito Federal,September,122,1/01/2017
1998,Distrito Federal,October,3,1/01/1998
1999,Distrito Federal,October,8,1/01/1999
2000,Distrito Federal,October,18,1/01/2000
2001,Distrito Federal,October,0,1/01/2001
2002,Distrito Federal,October,19,1/01/2002
2003,Distrito Federal,October,12,1/01/2003
2004,Distrito Federal,October,18,1/01/2004
2005,Distrito Federal,October,18,1/01/2005
2006,Distrito Federal,October,1,1/01/2006
2007,Distrito Federal,October,13,1/01/2007
2008,Distrito Federal,October,6,1/01/2008
2009,Distrito Federal,October,3,1/01/2009
2010,Distrito Federal,October,6,1/01/2010
2011,Distrito Federal,October,0,1/01/2011
2012,Distrito Federal,October,15,1/01/2012
2013,Distrito Federal,October,3,1/01/2013
2014,Distrito Federal,October,34,1/01/2014
2015,Distrito Federal,October,21,1/01/2015
2016,Distrito Federal,October,9,1/01/2016
2017,Distrito Federal,October,66,1/01/2017
1998,Distrito Federal,November,0,1/01/1998
1999,Distrito Federal,November,1,1/01/1999
2000,Distrito Federal,November,0,1/01/2000
2001,Distrito Federal,November,0,1/01/2001
2002,Distrito Federal,November,1,1/01/2002
2003,Distrito Federal,November,0,1/01/2003
2004,Distrito Federal,November,0,1/01/2004
2005,Distrito Federal,November,2,1/01/2005
2006,Distrito Federal,November,0,1/01/2006
2007,Distrito Federal,November,0,1/01/2007
2008,Distrito Federal,November,4,1/01/2008
2009,Distrito Federal,November,0,1/01/2009
2010,Distrito Federal,November,0,1/01/2010
2011,Distrito Federal,November,1,1/01/2011
2012,Distrito Federal,November,0,1/01/2012
2013,Distrito Federal,November,0,1/01/2013
2014,Distrito Federal,November,0,1/01/2014
2015,Distrito Federal,November,3,1/01/2015
2016,Distrito Federal,November,1,1/01/2016
2017,Distrito Federal,November,0,1/01/2017
1998,Distrito Federal,December,0,1/01/1998
1999,Distrito Federal,December,0,1/01/1999
2000,Distrito Federal,December,0,1/01/2000
2001,Distrito Federal,December,1,1/01/2001
2002,Distrito Federal,December,1,1/01/2002
2003,Distrito Federal,December,0,1/01/2003
2004,Distrito Federal,December,0,1/01/2004
2005,Distrito Federal,December,0,1/01/2005
2006,Distrito Federal,December,0,1/01/2006
2007,Distrito Federal,December,0,1/01/2007
2008,Distrito Federal,December,0,1/01/2008
2009,Distrito Federal,December,0,1/01/2009
2010,Distrito Federal,December,1,1/01/2010
2011,Distrito Federal,December,0,1/01/2011
2012,Distrito Federal,December,0,1/01/2012
2013,Distrito Federal,December,2,1/01/2013
2014,Distrito Federal,December,0,1/01/2014
2015,Distrito Federal,December,0,1/01/2015
2016,Distrito Federal,December,0,1/01/2016
1998,Espírito Santo,January,0,1/01/1998
1999,Espírito Santo,January,33,1/01/1999
2000,Espírito Santo,January,5,1/01/2000
2001,Espírito Santo,January,1,1/01/2001
2002,Espírito Santo,January,2,1/01/2002
2003,Espírito Santo,January,4,1/01/2003
2004,Espírito Santo,January,1,1/01/2004
2005,Espírito Santo,January,4,1/01/2005
2006,Espírito Santo,January,13,1/01/2006
2007,Espírito Santo,January,0,1/01/2007
2008,Espírito Santo,January,12,1/01/2008
2009,Espírito Santo,January,4,1/01/2009
2010,Espírito Santo,January,52,1/01/2010
2011,Espírito Santo,January,3,1/01/2011
2012,Espírito Santo,January,1,1/01/2012
2013,Espírito Santo,January,10,1/01/2013
2014,Espírito Santo,January,11,1/01/2014
2015,Espírito Santo,January,76,1/01/2015
2016,Espírito Santo,January,43,1/01/2016
2017,Espírito Santo,January,13,1/01/2017
1998,Espírito Santo,February,0,1/01/1998
1999,Espírito Santo,February,10,1/01/1999
2000,Espírito Santo,February,5,1/01/2000
2001,Espírito Santo,February,5,1/01/2001
2002,Espírito Santo,February,4,1/01/2002
2003,Espírito Santo,February,11,1/01/2003
2004,Espírito Santo,February,5,1/01/2004
2005,Espírito Santo,February,1,1/01/2005
2006,Espírito Santo,February,45,1/01/2006
2007,Espírito Santo,February,3,1/01/2007
2008,Espírito Santo,February,20,1/01/2008
2009,Espírito Santo,February,12,1/01/2009
2010,Espírito Santo,February,15,1/01/2010
2011,Espírito Santo,February,42,1/01/2011
2012,Espírito Santo,February,25,1/01/2012
2013,Espírito Santo,February,15,1/01/2013
2014,Espírito Santo,February,17,1/01/2014
2015,Espírito Santo,February,60,1/01/2015
2016,Espírito Santo,February,24,1/01/2016
2017,Espírito Santo,February,8,1/01/2017
1998,Espírito Santo,March,0,1/01/1998
1999,Espírito Santo,March,8,1/01/1999
2000,Espírito Santo,March,1,1/01/2000
2001,Espírito Santo,March,2,1/01/2001
2002,Espírito Santo,March,4,1/01/2002
2003,Espírito Santo,March,28,1/01/2003
2004,Espírito Santo,March,3,1/01/2004
2005,Espírito Santo,March,3,1/01/2005
2006,Espírito Santo,March,14,1/01/2006
2007,Espírito Santo,March,9,1/01/2007
2008,Espírito Santo,March,5,1/01/2008
2009,Espírito Santo,March,11,1/01/2009
2010,Espírito Santo,March,3,1/01/2010
2011,Espírito Santo,March,5,1/01/2011
2012,Espírito Santo,March,35,1/01/2012
2013,Espírito Santo,March,13,1/01/2013
2014,Espírito Santo,March,15,1/01/2014
2015,Espírito Santo,March,25,1/01/2015
2016,Espírito Santo,March,107,1/01/2016
2017,Espírito Santo,March,9,1/01/2017
1998,Espírito Santo,April,0,1/01/1998
1999,Espírito Santo,April,2,1/01/1999
2000,Espírito Santo,April,3,1/01/2000
2001,Espírito Santo,April,2,1/01/2001
2002,Espírito Santo,April,2,1/01/2002
2003,Espírito Santo,April,22,1/01/2003
2004,Espírito Santo,April,0,1/01/2004
2005,Espírito Santo,April,4,1/01/2005
2006,Espírito Santo,April,1,1/01/2006
2007,Espírito Santo,April,2,1/01/2007
2008,Espírito Santo,April,8,1/01/2008
2009,Espírito Santo,April,8,1/01/2009
2010,Espírito Santo,April,7,1/01/2010
2011,Espírito Santo,April,3,1/01/2011
2012,Espírito Santo,April,74,1/01/2012
2013,Espírito Santo,April,16,1/01/2013
2014,Espírito Santo,April,15,1/01/2014
2015,Espírito Santo,April,33,1/01/2015
2016,Espírito Santo,April,57,1/01/2016
2017,Espírito Santo,April,7,1/01/2017
1998,Espírito Santo,May,0,1/01/1998
1999,Espírito Santo,May,16,1/01/1999
2000,Espírito Santo,May,2,1/01/2000
2001,Espírito Santo,May,8,1/01/2001
2002,Espírito Santo,May,5,1/01/2002
2003,Espírito Santo,May,1,1/01/2003
2004,Espírito Santo,May,0,1/01/2004
2005,Espírito Santo,May,5,1/01/2005
2006,Espírito Santo,May,0,1/01/2006
2007,Espírito Santo,May,1,1/01/2007
2008,Espírito Santo,May,2,1/01/2008
2009,Espírito Santo,May,7,1/01/2009
2010,Espírito Santo,May,3,1/01/2010
2011,Espírito Santo,May,2,1/01/2011
2012,Espírito Santo,May,20,1/01/2012
2013,Espírito Santo,May,14,1/01/2013
2014,Espírito Santo,May,18,1/01/2014
2015,Espírito Santo,May,17,1/01/2015
2016,Espírito Santo,May,48,1/01/2016
2017,Espírito Santo,May,10,1/01/2017
1998,Espírito Santo,June,6,1/01/1998
1999,Espírito Santo,June,6,1/01/1999
2000,Espírito Santo,June,9,1/01/2000
2001,Espírito Santo,June,9,1/01/2001
2002,Espírito Santo,June,18,1/01/2002
2003,Espírito Santo,June,19,1/01/2003
2004,Espírito Santo,June,3,1/01/2004
2005,Espírito Santo,June,8,1/01/2005
2006,Espírito Santo,June,5,1/01/2006
2007,Espírito Santo,June,4,1/01/2007
2008,Espírito Santo,June,4,1/01/2008
2009,Espírito Santo,June,12,1/01/2009
2010,Espírito Santo,June,3,1/01/2010
2011,Espírito Santo,June,7,1/01/2011
2012,Espírito Santo,June,15,1/01/2012
2013,Espírito Santo,June,22,1/01/2013
2014,Espírito Santo,June,9,1/01/2014
2015,Espírito Santo,June,18,1/01/2015
2016,Espírito Santo,June,49,1/01/2016
2017,Espírito Santo,June,37,1/01/2017
1998,Espírito Santo,July,37,1/01/1998
1999,Espírito Santo,July,9,1/01/1999
2000,Espírito Santo,July,16,1/01/2000
2001,Espírito Santo,July,12,1/01/2001
2002,Espírito Santo,July,9,1/01/2002
2003,Espírito Santo,July,27,1/01/2003
2004,Espírito Santo,July,4,1/01/2004
2005,Espírito Santo,July,9,1/01/2005
2006,Espírito Santo,July,11,1/01/2006
2007,Espírito Santo,July,13,1/01/2007
2008,Espírito Santo,July,5,1/01/2008
2009,Espírito Santo,July,25,1/01/2009
2010,Espírito Santo,July,5,1/01/2010
2011,Espírito Santo,July,18,1/01/2011
2012,Espírito Santo,July,35,1/01/2012
2013,Espírito Santo,July,20,1/01/2013
2014,Espírito Santo,July,17,1/01/2014
2015,Espírito Santo,July,30,1/01/2015
2016,Espírito Santo,July,42,1/01/2016
2017,Espírito Santo,July,3,1/01/2017
1998,Espírito Santo,August,38,1/01/1998
1999,Espírito Santo,August,60,1/01/1999
2000,Espírito Santo,August,26,1/01/2000
2001,Espírito Santo,August,30,1/01/2001
2002,Espírito Santo,August,60,1/01/2002
2003,Espírito Santo,August,118,1/01/2003
2004,Espírito Santo,August,12,1/01/2004
2005,Espírito Santo,August,12,1/01/2005
2006,Espírito Santo,August,29,1/01/2006
2007,Espírito Santo,August,82,1/01/2007
2008,Espírito Santo,August,13,1/01/2008
2009,Espírito Santo,August,17,1/01/2009
2010,Espírito Santo,August,39,1/01/2010
2011,Espírito Santo,August,93,1/01/2011
2012,Espírito Santo,August,12,1/01/2012
2013,Espírito Santo,August,53,1/01/2013
2014,Espírito Santo,August,47,1/01/2014
2015,Espírito Santo,August,35,1/01/2015
2016,Espírito Santo,August,78,1/01/2016
2017,Espírito Santo,August,30,1/01/2017
1998,Espírito Santo,September,108,1/01/1998
1999,Espírito Santo,September,64,1/01/1999
2000,Espírito Santo,September,14,1/01/2000
2001,Espírito Santo,September,38,1/01/2001
2002,Espírito Santo,September,46,1/01/2002
2003,Espírito Santo,September,252,1/01/2003
2004,Espírito Santo,September,47,1/01/2004
2005,Espírito Santo,September,8,1/01/2005
2006,Espírito Santo,September,87,1/01/2006
2007,Espírito Santo,September,63,1/01/2007
2008,Espírito Santo,September,78,1/01/2008
2009,Espírito Santo,September,57,1/01/2009
2010,Espírito Santo,September,53,1/01/2010
2011,Espírito Santo,September,108,1/01/2011
2012,Espírito Santo,September,48,1/01/2012
2013,Espírito Santo,September,30,1/01/2013
2014,Espírito Santo,September,61,1/01/2014
2015,Espírito Santo,September,228,1/01/2015
2016,Espírito Santo,September,128,1/01/2016
2017,Espírito Santo,September,58,1/01/2017
1998,Espírito Santo,October,20,1/01/1998
1999,Espírito Santo,October,23,1/01/1999
2000,Espírito Santo,October,88,1/01/2000
2001,Espírito Santo,October,19,1/01/2001
2002,Espírito Santo,October,113,1/01/2002
2003,Espírito Santo,October,159,1/01/2003
2004,Espírito Santo,October,48,1/01/2004
2005,Espírito Santo,October,62,1/01/2005
2006,Espírito Santo,October,10,1/01/2006
2007,Espírito Santo,October,79,1/01/2007
2008,Espírito Santo,October,100,1/01/2008
2009,Espírito Santo,October,13,1/01/2009
2010,Espírito Santo,October,32,1/01/2010
2011,Espírito Santo,October,38,1/01/2011
2012,Espírito Santo,October,62,1/01/2012
2013,Espírito Santo,October,37,1/01/2013
2014,Espírito Santo,October,89,1/01/2014
2015,Espírito Santo,October,307,1/01/2015
2016,Espírito Santo,October,58,1/01/2016
2017,Espírito Santo,October,56,1/01/2017
1998,Espírito Santo,November,4,1/01/1998
1999,Espírito Santo,November,9,1/01/1999
2000,Espírito Santo,November,3,1/01/2000
2001,Espírito Santo,November,3,1/01/2001
2002,Espírito Santo,November,22,1/01/2002
2003,Espírito Santo,November,49,1/01/2003
2004,Espírito Santo,November,42,1/01/2004
2005,Espírito Santo,November,0,1/01/2005
2006,Espírito Santo,November,0,1/01/2006
2007,Espírito Santo,November,112,1/01/2007
2008,Espírito Santo,November,3,1/01/2008
2009,Espírito Santo,November,18,1/01/2009
2010,Espírito Santo,November,3,1/01/2010
2011,Espírito Santo,November,6,1/01/2011
2012,Espírito Santo,November,7,1/01/2012
2013,Espírito Santo,November,11,1/01/2013
2014,Espírito Santo,November,20,1/01/2014
2015,Espírito Santo,November,141,1/01/2015
2016,Espírito Santo,November,8,1/01/2016
2017,Espírito Santo,November,3,1/01/2017
1998,Espírito Santo,December,5,1/01/1998
1999,Espírito Santo,December,0,1/01/1999
2000,Espírito Santo,December,3,1/01/2000
2001,Espírito Santo,December,1,1/01/2001
2002,Espírito Santo,December,12,1/01/2002
2003,Espírito Santo,December,18,1/01/2003
2004,Espírito Santo,December,9,1/01/2004
2005,Espírito Santo,December,5,1/01/2005
2006,Espírito Santo,December,0,1/01/2006
2007,Espírito Santo,December,14,1/01/2007
2008,Espírito Santo,December,1,1/01/2008
2009,Espírito Santo,December,32,1/01/2009
2010,Espírito Santo,December,10,1/01/2010
2011,Espírito Santo,December,1,1/01/2011
2012,Espírito Santo,December,18,1/01/2012
2013,Espírito Santo,December,9,1/01/2013
2014,Espírito Santo,December,28,1/01/2014
2015,Espírito Santo,December,61,1/01/2015
2016,Espírito Santo,December,12,1/01/2016
1998,Goiás,January,0,1/01/1998
1999,Goiás,January,14,1/01/1999
2000,Goiás,January,10,1/01/2000
2001,Goiás,January,29,1/01/2001
2002,Goiás,January,12,1/01/2002
2003,Goiás,January,14,1/01/2003
2004,Goiás,January,10,1/01/2004
2005,Goiás,January,27,1/01/2005
2006,Goiás,January,85,1/01/2006
2007,Goiás,January,28,1/01/2007
2008,Goiás,January,23,1/01/2008
2009,Goiás,January,30,1/01/2009
2010,Goiás,January,59,1/01/2010
2011,Goiás,January,39,1/01/2011
2012,Goiás,January,21,1/01/2012
2013,Goiás,January,33,1/01/2013
2014,Goiás,January,80,1/01/2014
2015,Goiás,January,118,1/01/2015
2016,Goiás,January,52,1/01/2016
2017,Goiás,January,53,1/01/2017
1998,Goiás,February,0,1/01/1998
1999,Goiás,February,334,1/01/1999
2000,Goiás,February,11,1/01/2000
2001,Goiás,February,9,1/01/2001
2002,Goiás,February,9,1/01/2002
2003,Goiás,February,47,1/01/2003
2004,Goiás,February,11,1/01/2004
2005,Goiás,February,84,1/01/2005
2006,Goiás,February,21,1/01/2006
2007,Goiás,February,13,1/01/2007
2008,Goiás,February,25,1/01/2008
2009,Goiás,February,29,1/01/2009
2010,Goiás,February,86,1/01/2010
2011,Goiás,February,45,1/01/2011
2012,Goiás,February,37,1/01/2012
2013,Goiás,February,86,1/01/2013
2014,Goiás,February,44,1/01/2014
2015,Goiás,February,53,1/01/2015
2016,Goiás,February,117,1/01/2016
2017,Goiás,February,75,1/01/2017
1998,Goiás,March,0,1/01/1998
1999,Goiás,March,1,1/01/1999
2000,Goiás,March,4,1/01/2000
2001,Goiás,March,10,1/01/2001
2002,Goiás,March,48,1/01/2002
2003,Goiás,March,29,1/01/2003
2004,Goiás,March,36,1/01/2004
2005,Goiás,March,36,1/01/2005
2006,Goiás,March,29,1/01/2006
2007,Goiás,March,49,1/01/2007
2008,Goiás,March,20,1/01/2008
2009,Goiás,March,32,1/01/2009
2010,Goiás,March,65,1/01/2010
2011,Goiás,March,19,1/01/2011
2012,Goiás,March,57,1/01/2012
2013,Goiás,March,79,1/01/2013
2014,Goiás,March,80,1/01/2014
2015,Goiás,March,76,1/01/2015
2016,Goiás,March,136,1/01/2016
2017,Goiás,March,115,1/01/2017
1998,Goiás,April,0,1/01/1998
1999,Goiás,April,25,1/01/1999
2000,Goiás,April,16,1/01/2000
2001,Goiás,April,49,1/01/2001
2002,Goiás,April,78,1/01/2002
2003,Goiás,April,87,1/01/2003
2004,Goiás,April,32,1/01/2004
2005,Goiás,April,55,1/01/2005
2006,Goiás,April,22,1/01/2006
2007,Goiás,April,17,1/01/2007
2008,Goiás,April,36,1/01/2008
2009,Goiás,April,11,1/01/2009
2010,Goiás,April,105,1/01/2010
2011,Goiás,April,71,1/01/2011
2012,Goiás,April,89,1/01/2012
2013,Goiás,April,42,1/01/2013
2014,Goiás,April,138,1/01/2014
2015,Goiás,April,89,1/01/2015
2016,Goiás,April,167,1/01/2016
2017,Goiás,April,60,1/01/2017
1998,Goiás,May,0,1/01/1998
1999,Goiás,May,99,1/01/1999
2000,Goiás,May,58,1/01/2000
2001,Goiás,May,85,1/01/2001
2002,Goiás,May,171,1/01/2002
2003,Goiás,May,57,1/01/2003
2004,Goiás,May,157,1/01/2004
2005,Goiás,May,164,1/01/2005
2006,Goiás,May,33,1/01/2006
2007,Goiás,May,94,1/01/2007
2008,Goiás,May,41,1/01/2008
2009,Goiás,May,104,1/01/2009
2010,Goiás,May,239,1/01/2010
2011,Goiás,May,136,1/01/2011
2012,Goiás,May,103,1/01/2012
2013,Goiás,May,150,1/01/2013
2014,Goiás,May,210,1/01/2014
2015,Goiás,May,129,1/01/2015
2016,Goiás,May,233,1/01/2016
2017,Goiás,May,135,1/01/2017
1998,Goiás,June,172,1/01/1998
1999,Goiás,June,250,1/01/1999
2000,Goiás,June,222,1/01/2000
2001,Goiás,June,212,1/01/2001
2002,Goiás,June,302,1/01/2002
2003,Goiás,June,321,1/01/2003
2004,Goiás,June,422,1/01/2004
2005,Goiás,June,189,1/01/2005
2006,Goiás,June,70,1/01/2006
2007,Goiás,June,186,1/01/2007
2008,Goiás,June,55,1/01/2008
2009,Goiás,June,179,1/01/2009
2010,Goiás,June,278,1/01/2010
2011,Goiás,June,314,1/01/2011
2012,Goiás,June,245,1/01/2012
2013,Goiás,June,192,1/01/2013
2014,Goiás,June,318,1/01/2014
2015,Goiás,June,277,1/01/2015
2016,Goiás,June,289,1/01/2016
2017,Goiás,June,442,1/01/2017
1998,Goiás,July,512,1/01/1998
1999,Goiás,July,311,1/01/1999
2000,Goiás,July,332,1/01/2000
2001,Goiás,July,371,1/01/2001
2002,Goiás,July,686,1/01/2002
2003,Goiás,July,322,1/01/2003
2004,Goiás,July,778,1/01/2004
2005,Goiás,July,363,1/01/2005
2006,Goiás,July,169,1/01/2006
2007,Goiás,July,399,1/01/2007
2008,Goiás,July,193,1/01/2008
2009,Goiás,July,470,1/01/2009
2010,Goiás,July,941,1/01/2010
2011,Goiás,July,607,1/01/2011
2012,Goiás,July,564,1/01/2012
2013,Goiás,July,350,1/01/2013
2014,Goiás,July,446,1/01/2014
2015,Goiás,July,347,1/01/2015
2016,Goiás,July,837,1/01/2016
2017,Goiás,July,577,1/01/2017
1998,Goiás,August,2.218,1/01/1998
1999,Goiás,August,1.198,1/01/1999
2000,Goiás,August,925,1/01/2000
2001,Goiás,August,787,1/01/2001
2002,Goiás,August,1.428,1/01/2002
2003,Goiás,August,902,1/01/2003
2004,Goiás,August,1.498,1/01/2004
2005,Goiás,August,639,1/01/2005
2006,Goiás,August,588,1/01/2006
2007,Goiás,August,2.382,1/01/2007
2008,Goiás,August,568,1/01/2008
2009,Goiás,August,647,1/01/2009
2010,Goiás,August,2.914,1/01/2010
2011,Goiás,August,1.613,1/01/2011
2012,Goiás,August,912,1/01/2012
2013,Goiás,August,488,1/01/2013
2014,Goiás,August,1.255,1/01/2014
2015,Goiás,August,943,1/01/2015
2016,Goiás,August,1.032,1/01/2016
2017,Goiás,August,1.492,1/01/2017
1998,Goiás,September,2.867,1/01/1998
1999,Goiás,September,1.898,1/01/1999
2000,Goiás,September,1.293,1/01/2000
2001,Goiás,September,1.863,1/01/2001
2002,Goiás,September,3.52,1/01/2002
2003,Goiás,September,1.662,1/01/2003
2004,Goiás,September,2.965,1/01/2004
2005,Goiás,September,1.341,1/01/2005
2006,Goiás,September,1.463,1/01/2006
2007,Goiás,September,3.745,1/01/2007
2008,Goiás,September,1.255,1/01/2008
2009,Goiás,September,685,1/01/2009
2010,Goiás,September,5.075,1/01/2010
2011,Goiás,September,2.259,1/01/2011
2012,Goiás,September,2.452,1/01/2012
2013,Goiás,September,684,1/01/2013
2014,Goiás,September,1.687,1/01/2014
2015,Goiás,September,2.296,1/01/2015
2016,Goiás,September,1.703,1/01/2016
2017,Goiás,September,3.238,1/01/2017
1998,Goiás,October,1.034,1/01/1998
1999,Goiás,October,743,1/01/1999
2000,Goiás,October,905,1/01/2000
2001,Goiás,October,479,1/01/2001
2002,Goiás,October,1.367,1/01/2002
2003,Goiás,October,1.183,1/01/2003
2004,Goiás,October,1.275,1/01/2004
2005,Goiás,October,1.717,1/01/2005
2006,Goiás,October,178,1/01/2006
2007,Goiás,October,1.195,1/01/2007
2008,Goiás,October,1.231,1/01/2008
2009,Goiás,October,367,1/01/2009
2010,Goiás,October,1.227,1/01/2010
2011,Goiás,October,476,1/01/2011
2012,Goiás,October,1.524,1/01/2012
2013,Goiás,October,606,1/01/2013
2014,Goiás,October,1.947,1/01/2014
2015,Goiás,October,1.807,1/01/2015
2016,Goiás,October,522,1/01/2016
2017,Goiás,October,2.401,1/01/2017
1998,Goiás,November,47,1/01/1998
1999,Goiás,November,110,1/01/1999
2000,Goiás,November,26,1/01/2000
2001,Goiás,November,15,1/01/2001
2002,Goiás,November,192,1/01/2002
2003,Goiás,November,168,1/01/2003
2004,Goiás,November,291,1/01/2004
2005,Goiás,November,144,1/01/2005
2006,Goiás,November,91,1/01/2006
2007,Goiás,November,79,1/01/2007
2008,Goiás,November,90,1/01/2008
2009,Goiás,November,89,1/01/2009
2010,Goiás,November,67,1/01/2010
2011,Goiás,November,59,1/01/2011
2012,Goiás,November,57,1/01/2012
2013,Goiás,November,183,1/01/2013
2014,Goiás,November,181,1/01/2014
2015,Goiás,November,547,1/01/2015
2016,Goiás,November,123,1/01/2016
2017,Goiás,November,117,1/01/2017
1998,Goiás,December,13,1/01/1998
1999,Goiás,December,20,1/01/1999
2000,Goiás,December,6,1/01/2000
2001,Goiás,December,18,1/01/2001
2002,Goiás,December,115,1/01/2002
2003,Goiás,December,129,1/01/2003
2004,Goiás,December,56,1/01/2004
2005,Goiás,December,5,1/01/2005
2006,Goiás,December,7,1/01/2006
2007,Goiás,December,16,1/01/2007
2008,Goiás,December,6,1/01/2008
2009,Goiás,December,39,1/01/2009
2010,Goiás,December,48,1/01/2010
2011,Goiás,December,39,1/01/2011
2012,Goiás,December,93,1/01/2012
2013,Goiás,December,86,1/01/2013
2014,Goiás,December,68,1/01/2014
2015,Goiás,December,179,1/01/2015
2016,Goiás,December,64,1/01/2016
1998,Maranhão,January,0,1/01/1998
1999,Maranhão,January,54,1/01/1999
2000,Maranhão,January,19,1/01/2000
2001,Maranhão,January,29,1/01/2001
2002,Maranhão,January,48,1/01/2002
2003,Maranhão,January,436,1/01/2003
2004,Maranhão,January,241,1/01/2004
2005,Maranhão,January,450,1/01/2005
2006,Maranhão,January,221,1/01/2006
2007,Maranhão,January,428,1/01/2007
2008,Maranhão,January,121,1/01/2008
2009,Maranhão,January,240,1/01/2009
2010,Maranhão,January,319,1/01/2010
2011,Maranhão,January,124,1/01/2011
2012,Maranhão,January,326,1/01/2012
2013,Maranhão,January,209,1/01/2013
2014,Maranhão,January,195,1/01/2014
2015,Maranhão,January,494,1/01/2015
2016,Maranhão,January,412,1/01/2016
2017,Maranhão,January,187,1/01/2017
1998,Maranhão,February,0,1/01/1998
1999,Maranhão,February,6,1/01/1999
2000,Maranhão,February,11,1/01/2000
2001,Maranhão,February,1,1/01/2001
2002,Maranhão,February,116,1/01/2002
2003,Maranhão,February,11,1/01/2003
2004,Maranhão,February,22,1/01/2004
2005,Maranhão,February,56,1/01/2005
2006,Maranhão,February,22,1/01/2006
2007,Maranhão,February,13,1/01/2007
2008,Maranhão,February,45,1/01/2008
2009,Maranhão,February,20,1/01/2009
2010,Maranhão,February,93,1/01/2010
2011,Maranhão,February,9,1/01/2011
2012,Maranhão,February,46,1/01/2012
2013,Maranhão,February,62,1/01/2013
2014,Maranhão,February,29,1/01/2014
2015,Maranhão,February,95,1/01/2015
2016,Maranhão,February,318,1/01/2016
2017,Maranhão,February,47,1/01/2017
1998,Maranhão,March,0,1/01/1998
1999,Maranhão,March,17,1/01/1999
2000,Maranhão,March,6,1/01/2000
2001,Maranhão,March,0,1/01/2001
2002,Maranhão,March,16,1/01/2002
2003,Maranhão,March,16,1/01/2003
2004,Maranhão,March,18,1/01/2004
2005,Maranhão,March,9,1/01/2005
2006,Maranhão,March,14,1/01/2006
2007,Maranhão,March,52,1/01/2007
2008,Maranhão,March,4,1/01/2008
2009,Maranhão,March,33,1/01/2009
2010,Maranhão,March,82,1/01/2010
2011,Maranhão,March,22,1/01/2011
2012,Maranhão,March,49,1/01/2012
2013,Maranhão,March,30,1/01/2013
2014,Maranhão,March,59,1/01/2014
2015,Maranhão,March,53,1/01/2015
2016,Maranhão,March,113,1/01/2016
2017,Maranhão,March,32,1/01/2017
1998,Maranhão,April,0,1/01/1998
1999,Maranhão,April,4,1/01/1999
2000,Maranhão,April,6,1/01/2000
2001,Maranhão,April,2,1/01/2001
2002,Maranhão,April,28,1/01/2002
2003,Maranhão,April,79,1/01/2003
2004,Maranhão,April,44,1/01/2004
2005,Maranhão,April,43,1/01/2005
2006,Maranhão,April,9,1/01/2006
2007,Maranhão,April,5,1/01/2007
2008,Maranhão,April,26,1/01/2008
2009,Maranhão,April,14,1/01/2009
2010,Maranhão,April,128,1/01/2010
2011,Maranhão,April,37,1/01/2011
2012,Maranhão,April,97,1/01/2012
2013,Maranhão,April,62,1/01/2013
2014,Maranhão,April,78,1/01/2014
2015,Maranhão,April,119,1/01/2015
2016,Maranhão,April,113,1/01/2016
2017,Maranhão,April,91,1/01/2017
1998,Maranhão,May,0,1/01/1998
1999,Maranhão,May,3,1/01/1999
2000,Maranhão,May,28,1/01/2000
2001,Maranhão,May,21,1/01/2001
2002,Maranhão,May,71,1/01/2002
2003,Maranhão,May,60,1/01/2003
2004,Maranhão,May,145,1/01/2004
2005,Maranhão,May,74,1/01/2005
2006,Maranhão,May,5,1/01/2006
2007,Maranhão,May,73,1/01/2007
2008,Maranhão,May,26,1/01/2008
2009,Maranhão,May,19,1/01/2009
2010,Maranhão,May,273,1/01/2010
2011,Maranhão,May,73,1/01/2011
2012,Maranhão,May,286,1/01/2012
2013,Maranhão,May,100,1/01/2013
2014,Maranhão,May,148,1/01/2014
2015,Maranhão,May,194,1/01/2015
2016,Maranhão,May,206,1/01/2016
2017,Maranhão,May,142,1/01/2017
1998,Maranhão,June,78,1/01/1998
1999,Maranhão,June,32,1/01/1999
2000,Maranhão,June,94,1/01/2000
2001,Maranhão,June,100,1/01/2001
2002,Maranhão,June,230,1/01/2002
2003,Maranhão,June,338,1/01/2003
2004,Maranhão,June,706,1/01/2004
2005,Maranhão,June,529,1/01/2005
2006,Maranhão,June,131,1/01/2006
2007,Maranhão,June,515,1/01/2007
2008,Maranhão,June,235,1/01/2008
2009,Maranhão,June,279,1/01/2009
2010,Maranhão,June,494,1/01/2010
2011,Maranhão,June,602,1/01/2011
2012,Maranhão,June,915,1/01/2012
2013,Maranhão,June,498,1/01/2013
2014,Maranhão,June,812,1/01/2014
2015,Maranhão,June,887,1/01/2015
2016,Maranhão,June,709,1/01/2016
2017,Maranhão,June,885,1/01/2017
1998,Maranhão,July,274,1/01/1998
1999,Maranhão,July,258,1/01/1999
2000,Maranhão,July,233,1/01/2000
2001,Maranhão,July,549,1/01/2001
2002,Maranhão,July,1.271,1/01/2002
2003,Maranhão,July,1.103,1/01/2003
2004,Maranhão,July,1.366,1/01/2004
2005,Maranhão,July,1.152,1/01/2005
